If you enjoyed,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Develop your first Facebook messenger bot in PHP,JavaScript Conquered the Web. Now It's Taking Over the Desktop,Spotify UI built with HTML / CSS - Freebiesbug,Leveling Up Your JavaScript -,Clippy's Back: The Future of Microsoft Is Chatbots,Facial recognition systems stumble when confronted with million-face database
Terms Aggregation in Elastic Search,Why Deep Learning Is Suddenly Changing Your Life,O RH chega ao board,"Cozmo Is the Smartest, Cutest AI-Powered Robot You've Ever Seen",2016 will be the year of conversational commerce - Chris Messina,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science
Assessing Salesforce's platform and ecosystem | ZDNet,This is the scientific reason we're addicted to our phones,Adobe quer potencializar área de marketing digital - Meio & Mensagem,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,Adobe CQ/Adobe AEM,Webinar Salesforce - Best Practices for Advanced Lightning Apps
Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,"Conheça Ember, a impressora 3D com hardware e software aberto da Autodesk","How to build a robot that ""sees"" with $100 and TensorFlow",Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Curso mbed na KL25Z - Primeiros passos - Embarcados,What is WebAssembly? The Dawn of a New Era - JavaScript Scene
Introducing Casting into Hangouts,Spark comparison: AWS vs. GCP,Google cloud boss Diane Greene: We're winning against AWS and Microsoft,Google's Cloud Machine Learning service is now in public beta,"Google just open sourced something called 'Parsey McParseface,' and it could change AI forever",Transfer Style But Not Color
Don't Waste Your Time on Networking Events,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up",You won't recognize the new world of digital payments without this report,NOW NEW NEXT: How growth champions create new value,Globant acquires WAE to continue advancing in the creation of digital journeys,Woolworths
A digital crack in banking's business model,JPMorgan is Quietly Developing a Private Ethereum Blockchain - CoinDesk,"Estonia wants to become a 'country as a service' and already has 10,000 virtual residents",XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",8 Insanely Simple Productivity Hacks
Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Buscas on-line por carros têm expansão de 43% no 1º trimestre,Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas,"Consórcio: Venda de novas cotas cai 13,5% no 1º trimestre",Creating value in auto finance with vLendRight | Kevin Moseri,ASSISTA: show une 100 drones e uma orquestra sinfônica para quebrar recorde mundial | VIP
Como são escrita as risadas em japonês? - Suki Desu,Request lesson : How and when to use はず(=hazu) | Maggie Sensei,Japanese for dummies,Learn Hiragana: The Ultimate Guide,"The Algorithm March, Japan's Strangely Entertaining Exercise",Portugal runs for four days straight on renewable energy alone
Digital Health Coaching,Automation and anxiety,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Skully officially admits it's over,Unilever Buys Dollar Shave Club for $1 Billion,The Internet of Things is looking for its VisiCalc
Paragraphs,How to Start a Telegram Bot With PHP,Deep Learning Demystified,Introducing Google Container Engine (GKE) node pools,Omnitone: Spatial audio on the web,Acquia's Dev Desktop - a Drupal server for beginners
Google lança experimentos com inteligência artificial | Google Discovery,Aplicação de visão computacional com OpenCV,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Burger King aceita pedidos via mensagens no Facebook - Startupi,The Progress of Web Apps - On the Edge,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card"
Serious Business: Should Renewable Energy Continue Receiving Government Subsidies?,"National Coming Out Day - Wikipedia, the free encyclopedia",Comprar roupas está ficando fora de moda no Reino Unido,[Retro] Celebration Grids - Management 3.0,Program your way to your next grocery delivery,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris
The Importance of Code Reviews,Post: Just Say mNo to Hungarian Notation,Optimizing the Performance of Vector Drawables - upday devs,Firebase Test Lab for Android,Sam Newman - Backends For Frontends,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment
Moovit's new Facebook chatbot for transport proves v0 is not going to be good,"Stock photos of women of color in tech, now free to use.",Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Google for Work and Google Cloud Platform get new security and privacy certifications,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files"
Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Why Is Learning Drupal Hard?,"Google anuncia MODE, pulseiras com tecnologia snap-and-swap para Android Wear | Google Discovery",Iniciando com o Docker: Criando suas próprias imagens - Tableless,Transfer Style But Not Color,Google connects BigQuery to Google Drive and Sheets
The White House Has Realized Artificial Intelligence Is Very Important,"contentId
7078276984547732873    How Companies Are Using Machine Learning to Ge...
7078276984547732873    How Companies Are Using Machine Learning to Ge...
Name: title, dtype: object","The future of machine learning: 5 trends to watch around algorithms, cloud, IoT, and big data - GeekWire","National Coming Out Day - Wikipedia, the free encyclopedia",Machine Learning is Fun! Part 3: Deep Learning and Convolutional Neural Networks,Qualcomm Snapdragon 820 Deep Learning SDK Nudges Local Neural Nets Closer To Mainstream
Why the customer experience matters,The future is the trust economy,The omnichannel customer experience is poised to take off in regulated industries,Two Different Sales Motions . . . .,B2B Ecommerce Growing; Becoming More Like B2C,An operating model for company-wide agile development
Why Is Learning Drupal Hard?,Iniciando com o Docker: Criando suas próprias imagens - Tableless,"Google anuncia MODE, pulseiras com tecnologia snap-and-swap para Android Wear | Google Discovery",Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais
Docker Swarm,New Amazon Linux Container Image for Cloud and On-Premises Workloads,Dries Buytaert: Advancing Drupal's web services,Artificial intelligence is hard to see,"China leaps ahead of Japan, is second in global iOS app revenue","There will be a Drupal 9, and here is why"
The #digital upstarts offering app-only #banking for smartphone users #benchmark,MOBILE TIME - Nascem os primeiros chatbots brasileiros,Design Kit: Prototyping,Digital Leadership Is Not an Optional Part of Being a CEO,Conversational Banking; from branches to bots. - Chatbots Magazine,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle
Spotify UI built with HTML / CSS - Freebiesbug,JavaScript Conquered the Web. Now It's Taking Over the Desktop,Progressive Web App - first introduced on Google I/O | airberlin,From fine wine to lotteries: Blockchain tech takes off - BBC News,8 things to expect from Google's biggest event of the year,These gloves can convert sign language into spoken English
Optimizing the Performance of Vector Drawables - upday devs,Firebase Test Lab for Android,Post: Just Say mNo to Hungarian Notation,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing
The battle for the post-digital world,Design Patterns: Progressive Disclosure for Mobile Apps,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",Apple is working on an AI system that wipes the floor with Google and everyone else,Shopping app Spring's redesign could be a game-changer,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
Will blockchain drive the fourth Industrial Revolution?,"Heroína, nazistas e agente laranja: por dentro da fusão do ano",Empresas intensificam operações de barter diante da dificuldade de crédito,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,71 erros de vocabulário e pronúncia em inglês que você faz,Largest IoT Event Kicks Off at Santa Clara Convention Center
"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,"Say goodbye to traditional customer segmentation "" Banking Technology",In defense of the Uber-ization of everything,Startup usa algoritmo e rede social para aprovar empréstimos | EXAME.com,Mobile banking conquista o coração dos brasileiros
Mastering Software Development in R · Simply Statistics,A Technical Primer On Causality,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,Probabilistic Programming,Lessons from Becoming a Data-Driven Organization
Slice Labs raises $3.9M to insure on-demand workers when they're on the job,"Google I/O: Expect A.I., virtual reality",Google's official Project Wing logo revealed,Grow fast or die slow: Focusing on customer success to drive growth,"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job","Bots, Messenger and the future of customer service"
"Secret's founder returns with Bold, a Medium for enterprise","Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters",Twitter adds a button to help you train its algorithm,How This Googler Redesigned The Workweek,"Franz - from idea to 10,000 daily active users in 26 days - Meet Franz",The AI business landscape
Twitter adds a button to help you train its algorithm,8 things to expect from Google's biggest event of the year,These gloves can convert sign language into spoken English,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Grow fast or die slow: Focusing on customer success to drive growth,Restb.ai: Why custom computer vision as a service makes sense | ZDNet
New MacBook Pro is not a Laptop for Developers Anymore,Alecrim/AlecrimCoreData,Joel on Software,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
Nubank e Goldman fecham parceria de R$ 200 milhões,"Sua empresa já tem um ""Open Innovation Lab"" ? - CIO",Olhando para o futuro: 5 pontos de atenção,IBM makes a big shift into cognitive computing,"Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free",Abrimos uma conta no Original.
"Telecoms open shop on Madison Avenue, but will brands buy?",The emerging Darwinian approach to analytics and augmented intelligence,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur,Generative Models,Exclusive: Why Microsoft is betting its future on AI,Google's Cloud Machine Learning service is now in public beta
Kit de sensor BLE alimentado por energia solar,Windows Server 2016 will come with commercial support for Docker Engine,Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery,How Mobile Health Apps and Wearables Could Actually Make People Sicker,"STEMTera, uma protoboard com Arduino Uno embutido","Conheça a Liga IoT, plataforma de inovação aberta que irá acelerar projetos ligados a Internet das Coisas"
How To Benefit From Getting Paid in Bitcoin,Intel's internal IoT platform for real-time enterprise analytics,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,Drupal How-To: Responsive or Adaptive Images? | Acquia,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",Dial in with ease using the latest Google Calendar app for Android
[Report] Gráficos inúteis ou bregas do Excel (parte 1),[Report] Gráficos inúteis ou bregas do Excel (parte 2),"Entrevista com Alejandro Formanchuk: ""Funcionário não é público interno - é ator extremo"" - Blog do Love Mondays",[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,Google HR chief Laszlo Bock leaving to launch startup,[Tools] See how the JIRA Portfolio team uses JIRA Portfolio
Workplace diversity in Brazil: there's still a long way to go,Neural networks are inadvertently learning our language's hidden gender biases,The Genderbread Person v3 | It's Pronounced Metrosexual,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção","Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss"
Qualcomm's deep learning SDK will mean more AI on your smartphone,Building AI Is Hard-So Facebook Is Building AI That Builds AI,You're Asking Too Much of Chat Bots. Just Let Them Grow Up,"Celular se torna principal meio de acesso à internet nos lares, diz IBGE",Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News
Qual o futuro da biometria em pagamentos móveis? - CIO,Ranking das maiores seguradoras da Europa - 2015 | Sonho Seguro,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,An incumbent's guide to digital disruption,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",Put a ring on it: three smart rings with plenty of beauty and brains
Inside The iPhone 7: Why Apple Killed The Headphone Jack,The moment when you realize every server in the world is vulnerable - Free Code Camp,New MacBook Pro is not a Laptop for Developers Anymore,[Teste] Quer saber como está seu português? - Runrun.it Blog,Developing iOS 9 Apps with Swift - Curso grátis de Stanford no iTunes U,Sesi oferece curso de LIBRAS com certificação de 40 horas
8 Things Every Person Should Do Before 8 A.M. - The Mission,Self-Driving Cars and Insurance,NoSQL Performance Benchmarks,Introducing the new Google Cloud Load Balancing UI,The Definitive Guide to Database Version Control,Olhando para o futuro: 5 pontos de atenção
10 documentários para empreendedores,Planejamento Estratégico Pessoal | Endeavor Brasil,Google's new translation software is almost as good as human translators,3M e o perfil intraempreendedor | Endeavor Brasil,6 New Tech Gadgets That Will Simplify Your Life in 2017,71 erros de vocabulário e pronúncia em inglês que você faz
Brazil's Bank Itaú Joins R3 Blockchain Consortium - CoinDesk,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games,The End Of Apps As We Know Them - Inside Intercom,Andrew Ng: What AI Can and Can't Do,Johnson & Johnson Targets 85% of Apps in Cloud by 2018,Google Unveiled A Partnership With Levi's To Create Smart Clothing
Outlook 2026 - Projeções para o Agronegócio Brasileiro,Artigos e Palestras - Programa Agricultura de Precisão do SENAR,Rede Agricultura de Precisão II,Cargill anuncia mudanças estratégicas para fortalecer a marca Nutron,The future of agriculture - Jim Womack visits a lean farm,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista"
What SWAG will Google I/O 2016 attendees take home?,New Sessions Added To Google I/O 2016 Schedule,Exclusive: Why Microsoft is betting its future on AI,Event Map For Google I/O 2016 Released,Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities"
Torus,Introduction to release engineering,"Autofill: What web devs should know, but don't",Cubr,Serverless Data Sync in Web Apps with Bit Torrent,Beyond Progressive Web Apps Part 1
Apple gives devs the chance to harness power of neural networks,Joel on Software,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog","AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",How Green Was My Valley (1941)
Johnson & Johnson Targets 85% of Apps in Cloud by 2018,WeChat's world,NOW NEW NEXT: How growth champions create new value,Woolworths,In the Long Run,[Article] 23 fascinating diagrams reveal how to negotiate with people around the world
On DRY and the cost of wrongful abstractions,Creating Your Code Review Checklist - DaedTech,My favorite people and resources to learn Android programming from,The Importance of Code Reviews,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Post: Just Say mNo to Hungarian Notation
What Science Tells Us About Leadership Potential,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Automation and anxiety,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/",Learning to learn by gradient descent by gradient descent
[Videos] This fake TED Talk about nothing might be the best you've ever seen,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room",Sony Smart Tennis Sensor for Tennis Rackets,[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,[Videos] Bill Gross: The single biggest reason why startups succeed,Presenting to the Boss(es) | Pluralsight
CRO: crescimento com baixo investimento,The gig economy as a driver of innovation,Introducing JQL: A Query Language for Analytics,"Facebook apresenta o Creative Hub, atualiza Canvas e SlideShow",Skill swarms - a new way to share expertise and work smarter together - Skillhive,How to approach machine learning as a non-technical person
Bolinho de parmesão,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),Achievement Unlocked : AWS Certified Solutions Architect Professional
How to approach machine learning as a non-technical person,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,Introducing JQL: A Query Language for Analytics,Behind Facebook Messenger's plan to be an app platform,Startup aims to use machine learning to make mobile notifications good,The gig economy as a driver of innovation
"Miracles of Human Language: An Introduction to Linguistics - Universiteit Leiden, Meertens instituut (KNAW) | Coursera",Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,From Insight-as-a-Service to insightful applications,Learning to learn by gradient descent by gradient descent,"Facebook sends a loud message about Messenger bots, but will we hear it?",How I got into the top 15 of a Kaggle competition in 3 days: A Python Tutorial
Tecnologia transforma gestão na área de saúde | EXAME.com,Saúde entra na era da indústria 4.0 | EXAME.com,Onde a tecnologia e o cuidado se encontram? - Saúde Business,Dasa compra maior rede de laboratórios do Nordeste,Itaú Unibanco fecha compra de ativos de varejo do Citi no Brasil,"Reestruturada, Dasa vai abrir 50 pontos e negocia aquisições"
Top 5 open source command shells for Linux,The emerging Darwinian approach to analytics and augmented intelligence,Generative Models,Exclusive: Why Microsoft is betting its future on AI,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur,Google's Cloud Machine Learning service is now in public beta
Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News,"Tenho várias ideias de negócios, qual devo levar adiante?","Celular se torna principal meio de acesso à internet nos lares, diz IBGE",Platform Overview,You're Asking Too Much of Chat Bots. Just Let Them Grow Up,10 Simple Habits of Insanely Productive People
Microsoft Build: the 10 most important announcements,Deep Learning Race: A Survey of Industry Players' Strategies - Intuition Machine,Mapping the World of Music Using Machine Learning: Part 1 - iHeartRadio Tech Blog,Learning to learn by gradient descent by gradient descent,"Miracles of Human Language: An Introduction to Linguistics - Universiteit Leiden, Meertens instituut (KNAW) | Coursera",Why Netflix thinks its personalized recommendation engine is worth $1 billion per year
"A whole new GitHub Universe: announcing new tools, forums, and features",Santander Vies to Become First Bank to Issue Cash on Blockchain - CoinDesk,Quick Tip: Working with the JavaScript Battery API,Say Hello to React CDK - KADIRA VOICE,Ethereum Used for 'First' Paid Energy Trade Using Blockchain Tech - CoinDesk,Comparing React.js to Vue.js for dynamic tabular data
Usability Heuristics for Bots - Chatbots Magazine,"Facebook details its company-wide machine learning platform, FBLearner Flow",TAM recebe primeira aeronave com o design e pintura da LATAM e avança na implantação da nova marca!,Gmail API: New endpoints for settings,A new look for Google Play family of apps,"contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object"
TrustedCompany anuncia novo produto no Fórum E-commerce Brasil 2016,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",8 things to expect from Google's biggest event of the year,Twitter adds a button to help you train its algorithm,These gloves can convert sign language into spoken English,Restb.ai: Why custom computer vision as a service makes sense | ZDNet
Google creates new European research group to focus on machine learning,Using behavioral data to improve customer satisfaction,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur,The emerging Darwinian approach to analytics and augmented intelligence,Services | RaRe Technologies,"Pinterest acquires the team behind Fleksy, a custom iOS and Android keyboard"
Introducing Cloud Spanner: a global database service for mission-critical applications,Para inovar é preciso mais do que boas ideias - Startupi,The Mobile Growth Stack: 2017 Edition - Mobile Growth Stack,Introducing Google Cloud Shell's new code editor,Introducing the Google Analytics Demo Account for Learning,Announcing new storage classes for Google Cloud Storage: simplifying the storage and management of hot and cold data
Apple e Google querem que você pague por assinatura em apps,Announcing new storage classes for Google Cloud Storage: simplifying the storage and management of hot and cold data,Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,Here are the SDKs Top Mobile Apps Use,Salesforce Architect Journey,New JavaScript library brings Java to browsers without applets
"Se eu fosse falar de todas as ideias péssimas que tive, precisaríamos de muito tempo, diz cofundador do Google",LPIC-OT DevOps Engineer | Linux Professional Institute,Gartner: em 2020 não haverá mais aplicativos,What's the Best Programming Language to Learn in 2017?,WORKPEDIA 2016,Drupal 8 Front-End Architecture
Using Gamified Hacking Challenges To Attract New Blockchain Developers,How to Improve 8 Major Problem Areas for Japanese Learners of All Levels,The Future of Pen: Windows Ink,Adopting Open Source Development Processes in Corporate IT,Facial recognition systems stumble when confronted with million-face database,Behold.ai launches artificially intelligent medical software to find abnormalities faster
Client-side ranking to more efficiently show people stories in feed,Live asynchronously.,Tasting Dagger 2 on Android,A nova sede da LEGO na Dinamarca é toda sobre colaboração,Salesforce Architect Journey,Pury - New Way to Profile Your Android Application
How to Create an Exponential Mindset,Carros conectados impulsionarão diferentes indústrias | Sonho Seguro,The economic essentials of digital strategy,Buscas on-line por carros têm expansão de 43% no 1º trimestre,This startup uses machine learning and satellite imagery to predict crop yields,PwC faz virada digital e já fatura US$ 1 bilhão no mundo
Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,Investimentos em coaching e mentoring aumentam nas empresas,Como resolver conflitos no ambiente corporativo us,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Cinco competências comportamentais para você ser um bom líder,How to augment your career with leadership coaching
Release Day: Extend Drupal 8 with Plugins,Improving Drupal 8's API-first: JSON API and OAuth2?,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Drupal 8.1.0 is now available,Monitorando Aplicações PHP com Prometheus,Acquia Engage 2016: Day One
Dr. consulta: uma revolução no setor da saúde,bliki: StranglerApplication,The Ultimate Solution to Versioning REST APIs: Content Negotiation,Sophia Genetics chega à América Latina para democratizar a Data-Driven Medicine,The hardest thing in computer science,WORKPEDIA 2016
The omnichannel customer experience is poised to take off in regulated industries,The future is the trust economy,Onde a tecnologia e o cuidado se encontram? - Saúde Business,[Framework] Lean IT Governance,Why the customer experience matters,Sophia Genetics chega à América Latina para democratizar a Data-Driven Medicine
"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net","Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com",You can now use MyCokeRewards with Apple Pay (and score a free Coke),7 Questions to Ask Before Your Next Digital Transformation,The return of the machinery question,Finding The Meaning Of Artificial Intelligence At Google I/O
Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,Here are the SDKs Top Mobile Apps Use,Apple e Google querem que você pague por assinatura em apps,Swift Top 10 Articles For The Past Year (v.2017),RecyclerView Prefetch - Google Developers,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment
What makes a good (Android) Software Engineer,Communication patterns in a Microservice world,Using DiffUtil in Android RecyclerView,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog,Don't document your code. Code your documentation.,Soylent's new drink will replace your breakfast and morning coffee
Android process death - and the (big) implications for your app - Inloop,"IBM e Visa transformam automóveis, eletrodomésticos e outros dispositivos conectados em potenciais pontos de vendas",Introducing Goals in Google Calendar on Android and iPhone,Using DiffUtil in Android RecyclerView,Sam Newman - Backends For Frontends,What the JIT!? Anatomy of the OpenJDK HotSpot VM
Conheça o Google Duo: um app de chamadas de vídeo para todos,IBM Watson is about to make Slack's chat bot smarter,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Introducing the Startup Battlefield companies of Disrupt NY 2016,"Google acquires Synergyse, an interactive training service for Google Apps","Google Save, serviço para salvar coisas da web, chega ao Brasil | Google Discovery"
"Machine Learning Can Identify Pixelated Faces, Researchers Show","Facebook sends a loud message about Messenger bots, but will we hear it?",Learning to learn by gradient descent by gradient descent,From Insight-as-a-Service to insightful applications,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet","Miracles of Human Language: An Introduction to Linguistics - Universiteit Leiden, Meertens instituut (KNAW) | Coursera"
Raspberry Pi with cloud vision at Google I/O - Raspberry Pi,Infrequently Noted,Google releases keyboard for the iPhone with built-in search features,"Chrome 52 Beta: CSS containment, simpler performance measurement, streamable responses from service workers, and more options for web push","Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",The Progress of Web Apps - On the Edge
A Beginner's Guide To Understanding Convolutional Neural Networks,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,"Need Some AI? Yeah, There's a Marketplace for That",Automation and anxiety,Machine Learning Is Redefining The Enterprise In 2016,"The ""Joel Test"" for Data Science"
Python Ecosystem for Machine Learning - Machine Learning Mastery,Introduction to Natural Language Processing - University of Michigan | Coursera,Deep Learning Demystified,Omnitone: Spatial audio on the web,Artificial intelligence is changing SEO faster than you think,Qualcomm Snapdragon 820 Deep Learning SDK Nudges Local Neural Nets Closer To Mainstream
"Em 2017 será possível ignorar totalmente o cartão físico, garante Itaú",Pago é a nova aposta da Nexxera.,Grupo de bancos adere à tecnologia do bitcoin em transações,"Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit",Nubank pode fechar as portas se BC confirmar mudança amanhã,American Express ... and the Book of Mormon - Chris Skinner's blog
"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery",Google moves to replace Flash with HTML5,Embed charts from Google Sheets in Google Docs and Slides and update them with a single click,New ways to keep data flowing between your apps and ours,Dial in with ease using the latest Google Calendar app for Android,"Finding an apartment to rent is as easy as hitting ""Send"" with Trulia's new Facebook Messenger bot"
From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Program your way to your next grocery delivery,As compras e os hábitos dos brasileiros no shopping | EXAME.com,Não existe frete grátis!,Comprar roupas está ficando fora de moda no Reino Unido,"Como o e-commerce brasileiro pode, enfim, começar a lucrar"
"Building Chatbots with Node.js - Online Training - July 13 & 14, 2016","Dag Kittlaus, co-founder of Siri, will give the world's first demo of a next gen AI called Viv at Disrupt NY",Twitter adds a button to help you train its algorithm,8 things to expect from Google's biggest event of the year,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",These gloves can convert sign language into spoken English
"contentId
8416004328454490172    Real World Swift Performance
8416004328454490172    Real World Swift Performance
Name: title, dtype: object",Swift Top 10 Articles For The Past Year (v.2017),Migrating from Parse to Bluemix,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Olli: Artificial Intelligence for the real world of connected commuting
4 Blockchain Macro Trends: Where to Place Your Bets,Blockchain startup R3 cuts fund-raising target to $150 million: source,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,3 Big Blockchain Ideas MIT is Working on Right Now - CoinDesk,Windows Subsystem for Linux Overview,"Amazon looking to buy Capital One? "" Banking Technology"
Time to Re-Think Design Thinking,So you want to sell to banks?,Ray Kurzweil: The world isn't getting worse - our information is getting better,Organizing for digital acceleration: Making a two-speed IT operating model work,Machine Learning and the VP Debate,Why Deep Learning Is Suddenly Changing Your Life
Google lança Cloud Functions,"Miracles of Human Language: An Introduction to Linguistics - Universiteit Leiden, Meertens instituut (KNAW) | Coursera",Making Sense of Unstructured Data with Google Cloud NL API,From Insight-as-a-Service to insightful applications,Ray Kurzweil Predicts Three Technologies Will Define Our Future,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year
Solange Oliveira,Taco Bell chega ao Brasil no segundo semestre desse ano,Netshoes é grande vencedora do Prêmio BR Week 2016,Comprar roupas está ficando fora de moda no Reino Unido,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,[Retro] Celebration Grids - Management 3.0
